,Correct_Degree(my.harvard),Tested_Degree(madris),Rating
0,XAA,XAA,100
64,XMTS,XMTS,100
75,XMSW,XMSW,100
74,XPHARMD,XPHARMD,100
73,XDO,XDO,100
72,XMFA,XMFA,100
69,XBSN,XBSN,100
68,XMSE,XMSE,100
67,XBSE,XBSE,100
65,XLLB,XLLB,100
60,XSM,XSM,100
78,XMHA,XMHA,100
59,XSCB,XSCB,100
58,XSB,XSB,100
1,XAB,XAB,100
49,XMSED,XMSED,100
48,XMSD,XMSD,100
47,XMSC,XMSC,100
46,XMS,XMS,100
45,XMPP,XMPP,100
77,XMBBCH,XMBBCH,100
79,XBE,XBE,100
43,XMPH,XMPH,100
100,XMHS,XMHS,100
109,XBMBCH,XBMBCH,100
108,XMBBS,XMBBS,100
106,XBAS,XBAS,100
105,XBPH,XBPH,100
104,XBCOM,XBCOM,100
103,XBBA,XBBA,100
102,XOD,XOD,100
101,XBMSC,XBMSC,100
97,XBVM,XBVM,100
81,XMST,XMST,100
95,XLLM,XLLM,100
94,XLLB,XLLB,100
92,XBL,XBL,100
91,XBPHIL,XBPHIL,100
87,XDC,XDC,100
86,XBSN,XBSN,100
83,XMBCHB,XMBCHB,100
82,XBSW,XBSW,100
44,XMPHIL,XMPHIL,100
57,XPHD,XPHD,100
42,XMPA,XMPA,100
15,XBS,XBS,100
27,XEDM,XEDM,100
25,XDMSC,XDMSC,100
24,XDMD,XDMD,100
22,XDDS,XDDS,100
41,XMMSC,XMMSC,100
19,XCERT,XCERT,100
17,XBSEE,XBSEE,100
16,XBSC,XBSC,100
14,XBMS,XBMS,100
31,XMA,XMA,100
13,XBME,XBME,100
10,XBFA,XBFA,100
9,XBEE,XBEE,100
8,XBDS,XBDS,100
5,XBCD,XBCD,100
4,XBA,XBA,100
3,XAS,XAS,100
2,XAM,XAM,100
29,XJD,XJD,100
114,XBPHARM,XBPHARM,100
36,XMDIV,XMDIV,100
32,XMAT,XMAT,100
35,XMD,XMD,100
38,XMED,XMED,100
33,XMBA,XMBA,100
51,XNDEG,XND,90
55,XPHARMD,XPH,90
93,XMLAUD,XML,90
12,XB,XBMA,90
11,XBHSC,XBH,90
66,XDPH,XDPHIL,90
7,XB,XBCH,90
85,XMB,XMB BCHIR,90
39,XMHSA,XMH,90
40,XMMSC,XMM,90
110,XDMSC,XDMSC ORAL BIOLOGY,90
111,XMMSC,XMMSC DENTAL EDUCATION,90
113,XMI,XMINDS,90
6,XB,XBCE,90
90,XB,XBHS,90
84,XBT,XBTECH,90
61,XSPEC,XSP,90
18,XB,XBSI,90
71,XMS,XMSEE,90
20,XCERT,XCERTIFICATE,90
76,XMS,XMS-MBA,90
80,XMB,XMBIOETHICS,90
37,XMDES,XMDS,89
56,XPHD,XPH D,89
99,XMHA,XMHAP,89
98,XMPVM,XMVM,89
26,XDMSC,XDSC,89
96,XMHS,XMHQS,89
112,XMDR,XMUDR,89
28,XBENG,XENG,89
88,XDHS,XDHSC,89
50,XMSSE,XMSS,89
21,XDD,XDCD,86
23,XDM,XDEM,86
34,XMD,XMBD,86
53,XOTHERCR,XOTHER,86
30,XDS,XLDS,86
89,XMB,XMBI,86
54,XOTHERDG,XOTHER DEGREES,79
63,XNDEG,XUNDETERMINED,72
52,XNDEG,XNON-DEGREE,72
62,XSTAT,XTAN,67
70,XBNUT,XRN,60
107,XMA,XNAN,57